,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.013126663365537682,0.011223166175234596,-1.1696042953104806,0.24216024799103653,-0.03512366486150564,0.008870338130430274
C(block)[T.2],0.010299528271721934,0.015551780040317886,0.6622732732214882,0.5077961022443683,-0.020181400502789992,0.040780457046233856
C(block)[T.3],-0.013479390175437384,0.01675619769139595,-0.8044420592124455,0.4211417190641046,-0.046320934168406644,0.01936215381753188
C(block)[T.4],0.00242624093346727,0.016482409093414307,0.14720183922850794,0.8829727089188485,-0.029878687268080253,0.0347311691350148
C(block)[T.5],0.009249856148405728,0.019028570693625364,0.48610357011756333,0.6268937358130029,-0.02804545708837434,0.04654516938518579
C(block)[T.6],-0.0013063092530600992,0.020586412260309026,-0.0634549253430957,0.9494042512341234,-0.0416549358541596,0.0390423173480394
C(block)[T.7],-0.02084223777217242,0.023012688120086482,-0.9056846233439544,0.3651028035741053,-0.06594627767499468,0.024261802130649848
C(block)[T.8],-0.013436587824224569,0.02597070433865542,-0.5173747946537295,0.604894551261472,-0.06433823298112731,0.03746505733267818
C(block)[T.9],-0.048212586854032374,0.03168949993809056,-1.5214057321264693,0.12815805130322883,-0.11032286542077414,0.013897691712709395
C(block)[T.10],-0.07534442130246731,0.044247072414054914,-1.7028114447303964,0.08860336038837839,-0.1620670896553507,0.011378247050416068
treat,0.396785875491007,0.006673244461999722,59.45921474186562,0.0,0.3837065566854562,0.4098651942965578
baseline_activity,1.015456826502954,0.00789095009434554,128.68625632680215,0.0,0.9999908485142338,1.0309228044916743
pre_metric,-0.007793422528109294,0.006556033993669699,-1.18874040855102,0.2345418342148866,-0.0206430130371222,0.005056167980903612
