,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,4.352270392107371,0.018564263471202085,234.44347247381262,0.0,4.315885104304303,4.38865567991044
C(block)[T.2],0.17357320457402672,0.024513816719855048,7.0806274909219065,1.4350317283553622e-12,0.125527006679495,0.22161940246855844
C(block)[T.3],0.2862069427365385,0.024863885274208467,11.510950102131607,1.1619119128677845e-30,0.23747462308335412,0.33493926238972294
C(block)[T.4],0.3959582098351475,0.025173579685846163,15.729118177728807,9.553226719188023e-56,0.34661890028893994,0.4452975193813551
C(block)[T.5],0.4829594243227055,0.025697161639096265,18.794271176934952,8.412789120041102e-79,0.4325939130051726,0.5333249356402384
C(block)[T.6],0.5468120111307625,0.024717652703304033,22.122327621249795,1.9272393813965606e-108,0.4983663020499175,0.5952577202116075
C(block)[T.7],0.6476181887907223,0.024958379594918752,25.94792607940662,1.918986254584839e-148,0.5987006636722022,0.6965357139092424
C(block)[T.8],0.75456008417744,0.0241935496531542,31.188481847229284,1.5266246966630968e-213,0.7071415981990763,0.8019785701558038
C(block)[T.9],0.8903662618374152,0.02587020236076983,34.41667171446587,1.4200871370972762e-259,0.8396615969375433,0.9410709267372871
C(block)[T.10],1.0718100315665673,0.024847236374655957,43.135985644657346,0.0,1.023110343156888,1.1205097199762466
treat,-0.018743423633672422,0.010522771346186677,-1.7812250230510625,0.07487569734411369,-0.03936767648974837,0.0018808292224035267
