,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.99549530386806,0.0006907192564001063,1441.2444631359879,0.0,0.9941415190020875,0.9968490887340324
C(block)[T.2],-0.00029988871289388314,0.0009330423471637424,-0.32140954138414335,0.7479000534252547,-0.002128618109385536,0.0015288406835977698
C(block)[T.3],0.0008000947319998419,0.0009055502184996282,0.8835454021815472,0.3769416631806616,-0.0009747510824518058,0.0025749405464514895
C(block)[T.4],0.0016001186449309574,0.0008720369407812386,1.834920712759538,0.066517438198096,-0.00010904235218875814,0.003309279642050673
C(block)[T.5],0.0023000689796116632,0.0007966061459632707,2.8873352173681486,0.0038852005505192817,0.0007387496236603952,0.003861388335562931
C(block)[T.6],0.0014001903837274241,0.000869517211448236,1.6103078412850718,0.10733066826188235,-0.0003040320346488171,0.0031044128021036656
C(block)[T.7],0.002300089213630549,0.0008134061908833061,2.827725236677633,0.004688002396104713,0.0007058423746973564,0.0038943360525637415
C(block)[T.8],0.002400117725203564,0.0007811329057850072,3.072611213057965,0.0021219474794308855,0.0008691253627258306,0.003931110087681298
C(block)[T.9],0.003500016555106411,0.0007392132209541858,4.7347861968547384,2.1928613734869196e-06,0.0020511852651403572,0.004948847845072464
C(block)[T.10],0.003400044146952376,0.00074962981826982,4.5356308728484604,5.743155143497924e-06,0.001930796701406223,0.004869291592498529
treat,9.197281512172582e-06,0.00033442224803045774,0.027502002532244604,0.9780593426630079,-0.0006462582802564456,0.0006646528432807907
