output,vote_pct,pred_vote,new_vote_pct,new_pred_vote
0,0.557273,0.47109,0.557273,0.468689
1,0.426149,0.525077,0.426149,0.467965
2,0.579046,0.525077,0.579046,0.467965
3,0.356531,0.47109,0.356531,0.468689
4,0.563661,0.525077,0.563661,0.467965
5,0.398,0.47109,0.398,0.468689
6,0.649617,0.47109,0.649617,0.468689
7,0.349043,0.525077,0.349043,0.467965
8,0.497483,0.525077,0.497483,0.467965
9,0.479548,0.47109,0.479548,0.468689
10,0.540278,0.525077,0.540278,0.467965
11,0.426099,0.47109,0.426099,0.468689
12,0.518814,0.525077,0.518814,0.467965
13,0.467337,0.47109,0.467337,0.468689
14,0.519691,0.47109,0.519691,0.468689
15,0.465876,0.525077,0.465876,0.467965
16,0.816312,0.47109,0.816312,0.468689
17,0.165095,0.525077,0.165095,0.467965
18,0.519261,0.47109,0.519261,0.468689
19,0.466424,0.525077,0.466424,0.467965
