title,author,published,url,description
Iran retains half of its missile arsenal — US secretary of state,,2026-04-27 23:58:40 +0000,https://tass.com/world/2123211,Marco Rubio stressed that Tehran has lost its production capacity and no longer has any naval forces
White House Security in Spotlight | Balance of Power: Late Edition 04/27/2026,,2026-04-27 23:57:26 +0000,https://www.bloomberg.com/news/videos/2026-04-27/balance-of-power-late-edition-04-27-2026-video,"""Balance of Power: Late Edition"" focuses on the intersection of politics and global business. On today's show, Donell Harvin, former DC Chief of Homeland Security and Intelligence, shares his reaction to the White House Correspondent's Dinner assassination attempt. CBO Director Phillip Swagel discus..."
US senator criticises plan to vet visa applicants over Israel views,,2026-04-27 23:56:20 +0000,https://www.middleeasteye.net/live-blog/live-blog-update/us-senator-criticises-plan-vet-visa-applicants-over-israel-views,
All the clues that photo of accused WHCD gunman Cole Allen in IDF shirt is AI,Alex Oliveira,2026-04-27 23:45:45 +0000,https://nypost.com/2026/04/27/us-news/all-the-clues-that-pic-of-whcd-gunman-cole-allen-in-idf-shirt-is-ai/,"A photo purporting to show accused White House Correspondents' Dinner shooting suspect Cole Allen wearing an Israel Defense Forces sweatshirt shows clear signs that it is fake and AI-generated, according to an analysis by The Post and Storyful."
US believes Iranian supreme leader is alive — secretary of state,,2026-04-27 23:38:05 +0000,https://tass.com/world/2123209,Thus Marco Rubio said when asked if the Iranian supreme leader was alive
Jury selection begins in Elon Musk's trial against OpenAI's Sam Altman,,2026-04-27 23:32:13 +0000,https://www.nbcnews.com/video/jury-selection-begins-in-elon-musk-s-trial-against-openai-s-sam-altman-262202949860,Jury selection began in Elon Musk’s civil trial against OpenAI CEO Sam Altman. NBC News’ Brian Cheung explains how both sides will try to make their case and how the jury selection is unfolding.
Taylor Swift files several trademarks to protect voice and likeness from misuse,,2026-04-27 23:32:00 +0000,https://www.nbcnews.com/video/taylor-swift-files-several-trademarks-to-protect-voice-and-likeness-from-misuse-262208069510,"Taylor Swift filed multiple trademark applications to protect herself, her music, and her voice from artificial intelligence. NBC News’ Erin McLaughlin reports on the legal action."
Melania Trump Wears Buttercream Adam Lippes Suit to Greet the Royals for Tea at the White House,Rosemary Feitelberg,2026-04-27 23:12:05 +0000,https://wwd.com/pop-culture/celebrity-news/melania-trump-adam-lippes-suit-royal-visit-white-house-1238931076/,The Trumps greeted the most senior members of the British royal family outside of the White House.
The travel warning every Australian needs to read,Caitlin Powell,2026-04-27 23:11:44 +0000,https://www.dailymail.com/news/article-15757579/qantas-flights-australia.html,Australians hoping to book international travel are facing stress due to the ongoing conflict in the Middle East causing fuel shortages and possible flight cancellations.
Trump Is Dissatisfied With Iran’s Plan to Reopen Strait of Hormuz,Tyler Pager; Julian E Barnes,2026-04-27 23:00:40 +0000,https://www.nytimes.com/2026/04/27/us/trump-iran-proposal.html,The proposal would have set aside questions about what to do with Iran’s nuclear program.
King Charles Will Speak of ‘Reconciliation and Renewal’ During Address to Congress,Michael D. Shear,2026-04-27 22:53:51 +0000,https://www.nytimes.com/2026/04/27/us/politics/king-charles-congress-address.html,The state visit of King Charles III comes at a moment of tension over the war in Iran between President Trump and Prime Minister Keir Starmer.
Will Trump emulate Churchill on Iran? * WorldNetDaily * by Don Feder,Don Feder,2026-04-27 22:43:54 +0000,https://www.wnd.com/2026/04/will-trump-emulate-churchill-iran/,'The war with the Islamic republic will be over when the horse's head is in the bed'
Stablecoin yield under scrutiny in US amid market structure debate,,2026-04-27 22:40:45 +0000,https://cointelegraph.com/news/israel-shekel-pegged-stablecoin-bils,The launch of one of the first shekel-pegged stablecoins on Monday was part of a larger effort by Israeli regulators to increase oversight on projects related to the crypto industry.
CBO Director Swagel on Calculating Federal Deficit,,2026-04-27 22:36:56 +0000,https://www.bloomberg.com/news/videos/2026-04-27/cbo-director-swagel-on-calculating-federal-deficit-video,CBO Director Phillip Swagel discusses how the long term fiscal outlook of the United States is looking and the adjustments the CBO has had to make to their ten year outlook following the US Supreme Court striking down on President Trump's global tariffs and the President launching a war with Iran. H...
Israel has rebuffed Ukraine’s claims that it was buying “stolen” grain from Russia,Russia Today,2026-04-27 22:33:06 +0000,https://www.rt.com/news/639190-israel-ukraine-twitter-diplomacy/,"Israel said Ukraine had failed to provide evidence that it was buying “stolen” grain from Russia, in the latest spat between Kiev and West Jerusalem"
Poorest across Southeast Asia are the hardest hit by energy crisis due to Iran war - Singapore News,Anna Maria Romero,2026-04-27 22:30:56 +0000,https://theindependent.sg/poorest-across-southeast-asia-are-the-hardest-hit-by-energy-crisis-due-to-iran-war/,How the economic pressures brought on by the fuel shocks due to the war in the Middle East affect the poorest in Southeast Asia the most.
"Trump to ABC: When Are You Going to Fire Assassination Clown Kimmel, Anyway?",Ed Morrissey,2026-04-27 22:30:01 +0000,https://hotair.com/ed-morrissey/2026/04/27/trump-to-abc-when-are-you-going-to-fire-kimmel-anyway-n3814348,Trump demands ABC fire Jimmy Kimmel over violent rhetoric amid assassination threats.
"Rep. Downing on Iran Strikes, WHCD Security, FISA",,2026-04-27 22:25:47 +0000,https://www.bloomberg.com/news/videos/2026-04-27/rep-downing-on-iran-strikes-whcd-security-fisa-video,"Congressman Troy Downing (R-MT), a member of the House Financial Services Committee, says any decision to strike Iran should not be taken lightly but must be weighed against the threat of a nuclear-armed regime, adding the US may need to “see this through.” He also says the shooting at the White Hou..."
"PBS Projects Fear and Loathing in Arizona: Voters 'Livid,' House Dems May End Up +3",Clay Waters,2026-04-27 22:25:31 +0000,https://www.newsbusters.org/blogs/nb/clay-waters/2026/04/27/pbs-projects-fear-and-loathing-arizona-voters-livid-house-dems-may,Yvonne Wingett Sanchez of The Atlantic was the star of the latest episode of the journalist roundtable Washington Week.
Bahrain Revokes Citizenship Of 69 Individuals In Connection With Iranian Attacks,,2026-04-27 22:20:01 +0000,https://www.bernama.com/en/news.php/?id=2550201,"Bahrain, citizenship, revoke, Iran attacks"
Bahrain Revokes Citizenship of 69 Over Alleged Support for Iran Attacks,Arabtimes,2026-04-27 22:18:19 +0000,https://world.einnews.com/article/908560705/stUjqqNz7d2fteC2?ref=rss&ecode=ckPk2ca1BhXiHee7,"MANAMA, Apr 27: Bahrain has intensified its security measures by revoking the citizenship of 69 individuals and their families over alleged support for Iran, ac..."
Bahrain Revokes Citizenship of 69 Over Alleged Support for Iran Attacks,Arabtimes,2026-04-27 22:18:19 +0000,https://world.einnews.com/article/908560705/6m-fKpMU4COsxVjQ?ref=rss&ecode=ckPk2ca1BhXiHee7,"MANAMA, Apr 27: Bahrain has intensified its security measures by revoking the citizenship of 69 individuals and their families over alleged support for Iran, ac..."
Bahrain Revokes Citizenship of 69 Over Alleged Support for Iran Attacks,Arabtimes,2026-04-27 22:18:19 +0000,https://world.einnews.com/article/908560705/gJTmr6JCisP45ti2?ref=rss&ecode=ckPk2ca1BhXiHee7,"MANAMA, Apr 27: Bahrain has intensified its security measures by revoking the citizenship of 69 individuals and their families over alleged support for Iran, ac..."
Bahrain Revokes Citizenship of 69 Over Alleged Support for Iran Attacks,Arabtimes,2026-04-27 22:18:19 +0000,https://world.einnews.com/article/908560705/5MwYt_ocLxBcFHfG?ref=rss&ecode=ckPk2ca1BhXiHee7,"MANAMA, Apr 27: Bahrain has intensified its security measures by revoking the citizenship of 69 individuals and their families over alleged support for Iran, ac..."
Bahrain Revokes Citizenship of 69 Over Alleged Support for Iran Attacks,Arabtimes,2026-04-27 22:18:19 +0000,https://world.einnews.com/article/908560705/3A5tjTxGLburRU3B?ref=rss&ecode=ckPk2ca1BhXiHee7,"MANAMA, Apr 27: Bahrain has intensified its security measures by revoking the citizenship of 69 individuals and their families over alleged support for Iran, ac..."
Bahrain Revokes Citizenship of 69 Over Alleged Support for Iran Attacks,Arabtimes,2026-04-27 22:18:19 +0000,https://world.einnews.com/article/908560705/cH0JgBMr5zA3Tgvm?ref=rss&ecode=ckPk2ca1BhXiHee7,"MANAMA, Apr 27: Bahrain has intensified its security measures by revoking the citizenship of 69 individuals and their families over alleged support for Iran, ac..."
"The TV series, 'Unconditional,' has its Israeli premiere | The Jerusalem Post",HANNAH BROWN,2026-04-27 22:17:17 +0000,https://www.jpost.com/israel-news/culture/article-894356,"The series co-creators are two of the biggest names in the Israeli television industry, Adam Bizanski (Magpie) and Dana Idisis (On the Spectrum), and it was written by Bizanski."
Pizza Hut to pay family of Petah Tikva murder victim | The Jerusalem Post,ARIELLA ROITMAN,2026-04-27 22:17:16 +0000,https://www.jpost.com/israel-news/article-894366,"The pizza chain also committed to establishing a dedicated aid fund for the family of 21-year-old Yemanu Binyamin Zalka, killed following his shift at the restaurant's Petah Tikva location."
Bahrain Strips 69 Nationals of Citizenship for Praising Iran - Kashmir Observer,Agencies,2026-04-27 22:06:29 +0000,https://world.einnews.com/article/908558348/SmL3_-10-alBCkG9?ref=rss&ecode=ckPk2ca1BhXiHee7,Bahrain revoked citizenship rights of 60 people for praising Iran in its war against US and Israel.
Bahrain Strips 69 Nationals of Citizenship for Praising Iran - Kashmir Observer,Agencies,2026-04-27 22:06:29 +0000,https://world.einnews.com/article/908558348/KSIeVfvbfm4FJCHA?ref=rss&ecode=ckPk2ca1BhXiHee7,Bahrain revoked citizenship rights of 60 people for praising Iran in its war against US and Israel.
Bahrain Strips 69 Nationals of Citizenship for Praising Iran - Kashmir Observer,Agencies,2026-04-27 22:06:29 +0000,https://world.einnews.com/article/908558348/xgBB_DqWWoVlqa4T?ref=rss&ecode=ckPk2ca1BhXiHee7,Bahrain revoked citizenship rights of 60 people for praising Iran in its war against US and Israel.
Bahrain Strips 69 Nationals of Citizenship for Praising Iran - Kashmir Observer,Agencies,2026-04-27 22:06:29 +0000,https://world.einnews.com/article/908558348/m58zmNmndf7KtZP1?ref=rss&ecode=ckPk2ca1BhXiHee7,Bahrain revoked citizenship rights of 60 people for praising Iran in its war against US and Israel.
Bahrain Strips 69 Nationals of Citizenship for Praising Iran - Kashmir Observer,Agencies,2026-04-27 22:06:29 +0000,https://world.einnews.com/article/908558348/kd3h7UWl4TG_mUnD?ref=rss&ecode=ckPk2ca1BhXiHee7,Bahrain revoked citizenship rights of 60 people for praising Iran in its war against US and Israel.
Bahrain Strips 69 Nationals of Citizenship for Praising Iran - Kashmir Observer,Agencies,2026-04-27 22:06:29 +0000,https://world.einnews.com/article/908558348/fIhcWsGXLzjJA-Rm?ref=rss&ecode=ckPk2ca1BhXiHee7,Bahrain revoked citizenship rights of 60 people for praising Iran in its war against US and Israel.
Why experts say trade wins aren’t enough for Xi-Trump summit in May,Cao Jiaxuan,2026-04-27 22:00:18 +0000,https://www.scmp.com/news/china/diplomacy/article/3351609/why-experts-say-trade-wins-arent-enough-xi-trump-summit-may,Former diplomat warns ‘malpractice-like’ lack of preparation for meeting could hollow out potential for productive talks.
Rajnath Singh arrives in Kyrgyzstan for Shanghai Cooperation Organisation Defence Ministers meeting,HT Correspondent,2026-04-27 21:52:17 +0000,https://www.hindustantimes.com/india-news/rajnath-singh-arrives-in-kyrgyzstan-for-shanghai-cooperation-organisation-defence-ministers-meeting-101777314548814.html,"Steps to mitigate the impact of the war in West Asia are likely to be discussed during the meeting, the defence ministry said.| India News"
Bahrain strips 69 people of citizenship over Iran support,Daniel Tari,2026-04-27 21:51:37 +0000,https://www.aljazeera.com/news/2026/4/27/bahrain-strips-69-people-of-citizenship-over-iran-support,Rights groups have described the move as a 'blatant abuse of power'.
